EmployeeID,Days_Worked,Absences,Long_Days,Avg_Work_Hours
1,232,29,0,7.373650622605364
2,236,25,42,7.718968926553672
3,242,19,0,7.013240358126722
4,235,26,0,7.193678486997636
5,245,16,115,8.006174603174603
6,237,24,237,10.796095874355368
7,232,29,1,6.923570402298851
8,243,18,0,6.725620713305898
9,230,31,1,7.236498792270532
10,234,27,0,7.080087844254511
11,241,20,222,8.403485477178423
12,241,20,0,7.06895458736745
13,229,32,229,9.301409509946627
14,235,26,235,9.399931442080378
15,241,20,0,6.089687644075611
16,237,24,0,6.705174636661979
17,227,34,0,6.619040626529613
18,246,15,246,11.014328139114726
19,232,29,0,6.960253831417624
20,231,30,231,9.293555796055795
21,232,29,27,7.590778256704981
22,233,28,0,6.008613495469718
23,232,29,210,8.402108477011494
24,242,19,0,6.8070052800734615
25,231,30,1,7.093167388167388
26,241,20,241,9.362002074688796
27,239,22,239,10.977123430962342
28,236,25,22,7.604444444444445
29,243,18,243,10.97758573388203
30,230,31,0,6.8312753623188405
31,238,23,238,10.10940826330532
32,242,19,0,6.709665977961433
33,234,27,234,10.518214624881292
34,243,18,0,6.182887517146776
35,240,21,0,6.586388888888889
36,232,29,232,10.272241379310344
37,242,19,242,9.982733011937558
38,230,31,0,5.979567632850242
39,227,34,0,6.775967939304944
40,239,22,34,7.690160390516039
41,244,17,0,7.204732468123861
42,235,26,26,7.594769503546099
43,242,19,0,6.952642332415059
44,240,21,0,7.008878472222222
45,244,17,1,7.201573315118398
46,240,21,2,7.172875
47,235,26,28,7.636801418439716
48,237,24,62,7.83278129395218
49,227,34,0,6.974765051395008
50,228,33,0,6.906424220272905
51,242,19,242,10.895463728191
52,237,24,237,9.12566572902016
53,239,22,0,6.831459786145978
54,236,25,5,7.3160499058380415
55,244,17,237,8.610798041894354
56,237,24,0,6.784845288326301
57,245,16,245,10.98609977324263
58,227,34,39,7.68658467939305
59,243,18,243,9.948856881572931
60,239,22,93,7.905527661552766
61,244,17,244,10.67241461748634
62,239,22,239,10.496171548117156
63,231,30,231,10.069261664261665
64,243,18,0,6.607014174668496
65,237,24,12,7.497914908579466
66,247,14,247,10.727235717498877
67,232,29,0,6.184816810344828
68,227,34,0,6.609300048947627
69,228,33,0,6.07624634502924
70,246,15,246,9.971745709123757
71,242,19,5,7.42145202020202
72,243,18,0,6.493810013717422
73,235,26,0,6.299470449172577
74,231,30,231,9.316973304473304
75,232,29,0,6.097862787356322
76,238,23,0,7.217327264239029
77,242,19,0,7.100070018365472
78,231,30,231,9.914107744107744
79,230,31,230,10.477788647342994
80,239,22,0,6.906938633193864
81,232,29,20,7.589092432950192
82,244,17,0,6.079724499089253
83,236,25,0,6.001112288135594
84,242,19,242,8.983123278236915
85,238,23,238,10.426184640522877
86,244,17,225,8.387526183970856
87,233,28,95,7.912038626609442
88,237,24,1,7.105291842475387
89,239,22,239,9.68863319386332
90,239,22,52,7.770347512784752
91,237,24,0,6.284280356305673
92,233,28,0,6.306108726752504
93,228,33,227,8.831585038986354
94,231,30,45,7.722377344877344
95,233,28,1,7.317479732951836
96,247,14,247,10.798262483130904
97,245,16,245,10.40136394557823
98,243,18,0,5.994326703246457
99,239,22,0,6.113110181311018
100,244,17,170,8.133578096539162
101,232,29,2,7.306164990421457
102,238,23,0,7.105030345471522
103,235,26,0,6.327729314420804
104,233,28,155,8.1285121602289
105,229,32,107,7.98643255701116
106,231,30,231,10.509096921596921
107,231,30,108,7.993284030784031
108,228,33,0,6.103653752436647
109,233,28,15,7.587908917501192
110,230,31,0,6.890321256038647
111,234,27,234,9.295999525166192
112,246,15,246,10.806078364950316
113,230,31,0,5.995219806763284
114,245,16,57,7.788609977324263
115,236,25,37,7.717707156308851
116,234,27,0,6.189450379867046
117,232,29,3,7.120614224137931
118,240,21,71,7.825193287037037
119,228,33,27,7.619401803118908
120,234,27,0,6.002463200379867
121,235,26,235,9.113126477541371
122,236,25,231,8.684139595103579
123,230,31,230,9.993131642512077
124,231,30,0,6.900539923039923
125,240,21,0,6.999357638888889
126,231,30,0,6.286230158730159
127,236,25,0,6.3661511299435025
128,240,21,175,8.19166087962963
129,240,21,0,6.4520891203703705
130,230,31,0,6.682986714975845
131,235,26,9,7.4826477541371155
132,245,16,245,9.920131519274376
133,235,26,2,7.4156382978723405
134,238,23,10,7.4953384687208215
135,227,34,0,5.998969652471855
136,234,27,0,6.85954534662868
137,232,29,0,6.131909722222222
138,227,34,22,7.67480543318649
139,238,23,238,8.878969421101774
140,232,29,232,10.89584530651341
141,233,28,233,10.692001669051026
142,232,29,0,7.060316091954023
143,245,16,245,9.009179138321995
144,239,22,8,7.420447466294746
145,245,16,18,7.585973922902495
146,241,20,0,6.624136698939603
147,236,25,0,6.192764830508475
148,236,25,0,6.472303436911488
149,243,18,166,8.195051440329218
150,237,24,0,6.787695733708392
151,235,26,4,7.3021394799054375
152,233,28,0,6.822407010014307
153,230,31,3,7.322458937198068
154,232,29,0,6.164361829501916
155,237,24,22,7.610284810126583
156,238,23,0,6.5951353874883285
157,236,25,236,10.648925376647835
158,227,34,0,6.20442731277533
159,237,24,228,8.591902250351618
160,230,31,0,6.001353864734299
161,227,34,0,6.281751101321586
162,234,27,83,7.9055698005698005
163,242,19,0,7.175699035812673
164,237,24,0,6.651255274261604
165,234,27,90,7.906068376068376
166,239,22,0,6.718815667131567
167,231,30,0,6.290588023088023
168,243,18,0,7.178114997713763
169,240,21,0,6.286431712962963
170,231,30,1,7.217978595478596
171,230,31,59,7.809089371980676
172,242,19,0,6.805152662993573
173,234,27,0,6.484045584045584
174,241,20,31,7.651214845550945
175,234,27,11,7.585962725546058
176,234,27,234,9.179540598290597
177,236,25,0,6.37815324858757
178,234,27,227,8.47764719848053
179,244,17,0,6.965121812386157
180,241,20,0,6.474620792992162
181,242,19,242,8.876004361799817
182,228,33,0,6.58834186159844
183,237,24,237,10.995573136427566
184,236,25,59,7.810652071563088
185,244,17,0,7.22925660291439
186,234,27,0,6.419389838556505
187,231,30,0,6.779623617123617
188,234,27,6,7.390809591642925
189,230,31,0,6.192049516908213
190,233,28,0,6.014660228898426
191,244,17,3,7.3010291438979955
192,242,19,0,7.061997245179064
193,242,19,240,8.724735996326904
194,236,25,236,10.807604755178907
195,226,35,6,7.41028883972468
196,244,17,244,9.190491803278688
197,228,33,2,7.393010477582846
198,241,20,3,7.402587597971416
199,234,27,0,6.711708214624881
200,241,20,241,9.230231673582296
201,239,22,0,6.880860065086006
202,230,31,230,9.292572463768115
203,229,32,0,6.0161487142164
204,228,33,0,6.326000243664717
205,237,24,0,6.406121659634318
206,233,28,232,8.751425846447306
207,240,21,8,7.389827546296297
208,228,33,0,6.196189083820663
209,239,22,45,7.706279637377963
210,241,20,15,7.50663439372983
211,244,17,244,9.075687613843352
212,241,20,0,5.993242277547258
